PERSON ONE,PERSON TWO,CITY
,,
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,Shirazi was grandfather of Ibn Naja. Shirazi spread Hanbali school in Syria. Recognized as one of the great scholars of the age
عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,محمد بن الحسين بن محمد بن خلف بن أحمد بن الفراء,Shirazi was a student in Baghdad. Studied Hanbali fiqh
عبد الْوَاحِد بن مُحَمَّد بن عَليّ بن أَحْمد الشِّيرَازِيّ أبي الفرج,شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,Father of Sharaf al Islam
زين الدين أبو الحسن علي بن إبراهيم بن نجا,شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,Nephew of Sharaf
شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,وَجِيْهُ الدِّيْنِ أَبُو المَعَالِي أَسَعْدُ بنُ المُنَجَّى بنِ أَبِي المُنَجَّى بَرَكَاتِ بنِ المُؤَمَّلِ التَّنُوْخِيُّ،,Studied fiqh under Sharaf al Islam
شرف الإسلام عبد الوهاب بن أبي الفرج الحنبلي,عثمان بن مرزوق بن حميد بن سلام القرشي,Ibn Marzuq studied under Sharaf al-Din
عبد القادر الجيلاني,عثمان بن مرزوق بن حميد بن سلام القرشي,Uthman became disciple
عثمان بن مرزوق بن حميد بن سلام القرشي,سعد بن عثمان بن مرزوق بن حميد بن سلام القرشي,"Son of Uthman, he left Cairo and settled in Baghdad where he lived in the ribat of Abd al Qadir"
عثمان بن مرزوق بن حميد بن سلام القرشي,أبو طاهر السلفي,Met in Fustat
عثمان بن مرزوق بن حميد بن سلام القرشي,أسد الدين شيركوه,shirkuh was told that he would not conquer Egypt this time. Shirkuh asked about Jerusalem and was told that he would not conquer it himself but it would fall to a relative of his (Al Maqrizi)
عثمان بن مرزوق بن حميد بن سلام القرشي,أبو مدين شعيب بن الحسين الأنصاري,Ibn Rajab (Tabaqat) writes that Ibn Marzuq clais he made pilgrimage with Abu Madyan
عثمان بن مرزوق بن حميد بن سلام القرشي,القاضي الفاضل,Al-Fadil met with Marzuq in Egypt
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عبد القادر الجيلاني,Ibn Naja was disciple of Jilani
زين الدين أبو الحسن علي بن إبراهيم بن نجا,عثمان بن مرزوق بن حميد بن سلام القرشي,Ibn Naja visited ibn Marzuq in Egypt
زين الدين أبو الحسن علي بن إبراهيم بن نجا,أسد الدين شيركوه بن شاذي,Ibn Naja carried message from Jilani 
زين الدين أبو الحسن علي بن إبراهيم بن نجا,نور الدين محمود زنكي,Ibn Naja carried message from Jilani 
زين الدين أبو الحسن علي بن إبراهيم بن نجا,صلاح الدين,Ibn Naja met Saladin in Egypt. Became close confidant
زين الدين أبو الحسن علي بن إبراهيم بن نجا,سعد الْخَيْر بن مُحَمَّد بن سهل بن سعد أَبُي الْحسن الْأنْصَارِيّ,Ibn Naja was student of Sa'd al-Khayr
زين الدين أبو الحسن علي بن إبراهيم بن نجا,فَاطِمَةُ بِنْتُ أَبِي الحَسَنِ سَعْدُ الخَيْرِ,"Ibn Naja married fatima, daughter of Sa'd al-Khayr"
زين الدين أبو الحسن علي بن إبراهيم بن نجا,أبو طاهر السلفي,read Hadith with him in Alexandria
زين الدين أبو الحسن علي بن إبراهيم بن نجا,نجم الدين ابو البركات محمد ابن الوفق الخبوشاني,sibt al- jawzi writes of the enmity between ibn Naja and Khabushani (Hanbali/Shafii?)
